fips,rate
01001,256.21
01003,253.37
01005,253.37
01007,257.80
01009,257.80
01011,253.37
01013,253.37
01015,256.21
01017,253.37
01019,253.37
01021,257.80
01023,253.37
01025,253.37
01027,253.37
01029,253.37
01031,253.37
01033,251.53
01035,253.37
01037,253.37
01039,253.37
01041,253.37
01043,253.37
01045,253.37
01047,253.37
01049,253.37
01051,256.21
01053,253.37
01055,256.21
01057,253.37
01059,253.37
01061,259.34
01063,251.53
01065,251.53
01067,259.34
01069,259.34
01071,253.37
01073,257.80
01075,253.37
01077,251.53
01079,271.77
01081,277.55
01083,259.94
01085,256.21
01087,253.37
01089,259.94
01091,253.37
01093,253.37
01095,253.37
01097,248.90
01099,253.37
01101,256.21
01103,271.77
01105,253.37
01107,253.37
01109,253.37
01111,253.37
01113,277.55
01115,257.80
01117,257.80
01119,253.37
01121,253.37
01123,253.37
01125,251.53
01127,257.80
01129,253.37
01131,253.37
01133,253.37
04001,209.35
04003,234.32
04005,209.35
04007,226.04
04009,234.32
04011,234.32
04012,255.96
04013,172.09
04015,209.35
04017,209.35
04019,174.65
04021,226.04
04023,174.65
04025,292.90
04027,255.96
05001,269.21
05003,269.21
05005,300.77
05007,300.77
05009,300.77
05011,269.21
05013,288.08
05015,300.77
05017,269.21
05019,275.40
05021,285.61
05023,328.93
05025,269.21
05027,288.08
05029,328.93
05031,285.61
05033,286.54
05035,285.61
05037,285.61
05039,269.21
05041,269.21
05043,269.21
05045,328.93
05047,286.54
05049,285.61
05051,275.40
05053,328.93
05055,285.61
05057,288.08
05059,275.40
05061,288.08
05063,285.61
05065,285.61
05067,285.61
05069,269.21
05071,286.54
05073,288.08
05075,285.61
05077,269.21
05079,269.21
05081,288.08
05083,286.54
05085,328.93
05087,300.77
05089,300.77
05091,288.08
05093,285.61
05095,269.21
05097,275.40
05099,288.08
05101,300.77
05103,288.08
05105,328.93
05107,269.21
05109,275.40
05111,285.61
05113,286.54
05115,328.93
05117,328.93
05119,328.93
05121,285.61
05123,285.61
05125,328.93
05127,286.54
05129,300.77
05131,286.54
05133,288.08
05135,285.61
05137,285.61
05139,288.08
05141,328.93
05143,300.77
05145,328.93
05147,285.61
05149,328.93
06001,
06003,
06005,
06007,
06009,
06011,
06013,
06015,
06017,
06019,
06021,
06023,
06025,
06027,
06029,
06031,
06033,
06035,
06039,
06041,
06043,
06045,
06047,
06049,
06051,
06053,
06055,
06057,
06059,
06061,
06063,
06065,
06067,
06069,
06071,
06073,
06075,
06077,
06079,
06081,
06083,
06085,
06087,
06089,
06091,
06093,
06095,
06097,
06099,
06101,
06103,
06105,
06107,
06109,
06111,
06113,
06115,
08001,
08003,
08005,
08007,
08009,
08011,
08013,
08014,
08015,
08017,
08019,
08021,
08023,
08025,
08027,
08029,
08031,
08033,
08035,
08037,
08039,
08041,
08043,
08045,
08047,
08049,
08051,
08053,
08055,
08057,
08059,
08061,
08063,
08065,
08067,
08069,
08071,
08073,
08075,
08077,
08079,
08081,
08083,
08085,
08087,
08089,
08091,
08093,
08095,
08097,
08099,
08101,
08103,
08105,
08107,
08109,
08111,
08113,
08115,
08117,
08119,
08121,
08123,
08125,
09001,
09003,
09005,
09007,
09009,
09011,
09013,
09015,
10001,293.20
10003,293.20
10005,293.20
11001,
12001,292.30
12003,294.44
12005,267.27
12007,287.16
12009,290.73
12011,235.79
12013,308.12
12015,281.44
12017,281.14
12019,294.44
12021,308.36
12023,312.04
12027,321.43
12029,324.61
12031,265.03
12033,269.74
12035,294.87
12037,329.53
12039,325.60
12041,324.61
12043,348.07
12045,275.25
12047,330.90
12049,346.89
12051,345.08
12053,286.16
12055,302.17
12057,268.49
12059,325.60
12061,247.51
12063,325.60
12065,305.46
12067,330.90
12069,280.92
12071,292.01
12073,296.15
12075,306.63
12077,329.53
12079,325.60
12081,264.30
12083,272.84
12085,291.80
12086,271.92
12087,394.62
12089,294.87
12091,269.81
12093,318.27
12095,290.24
12097,295.85
12099,280.06
12101,277.81
12103,280.46
12105,301.41
12107,294.44
12109,290.87
12111,278.80
12113,268.56
12115,264.30
12117,300.75
12119,280.02
12121,322.13
12123,305.46
12125,231.68
12127,263.86
12129,305.46
12131,284.81
12133,304.21
13001,232.37
13003,290.60
13005,290.60
13007,363.61
13009,262.49
13011,258.86
13013,227.13
13015,248.98
13017,325.64
13019,325.64
13021,273.01
13023,273.01
13025,290.60
13027,325.64
13029,232.37
13031,232.37
13033,248.17
13035,248.98
13037,363.61
13039,290.60
13043,232.37
13045,310.82
13047,276.05
13049,290.60
13051,232.37
13053,253.95
13055,285.76
13057,248.98
13059,227.13
13061,363.61
13063,248.98
13065,325.64
13067,248.98
13069,290.60
13071,325.64
13073,248.17
13075,325.64
13077,248.98
13079,273.01
13081,363.61
13083,276.05
13085,258.86
13087,325.64
13089,248.98
13091,273.01
13093,273.01
13095,363.61
13097,248.98
13099,325.64
13101,325.64
13103,232.37
13105,227.13
13107,248.17
13109,232.37
13111,271.73
13113,248.98
13115,285.76
13117,248.98
13119,258.86
13121,248.98
13123,285.76
13125,248.17
13127,290.60
13129,285.76
13131,325.64
13133,227.13
13135,248.98
13137,258.86
13139,258.86
13141,262.49
13143,310.82
13145,253.95
13147,258.86
13149,310.82
13151,248.98
13153,273.01
13155,325.64
13157,227.13
13159,248.98
13161,290.60
13163,248.17
13165,248.17
13167,290.60
13169,273.01
13171,248.98
13173,325.64
13175,290.60
13177,363.61
13179,232.37
13181,248.17
13183,232.37
13185,325.64
13187,258.86
13189,248.17
